Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Seller_Type,Amenities,Description,Link,Amenities_Count,Is_Installments
EG-6901132,Villa,north coast resorts riviera,6800000.0,19429.0,350.0,4 rooms,3 bathroom,,2009.0,1,Garden,Developer,Garden,Villa For sale in Riviera,https://aqarmap.com.eg/en/listing/6901132-for-sale-north-coast-resorts-riviera/,1,1
EG-6671452,Apartment,cairo 6th of october compounds murooj,5000000.0,37594.0,133.0,3 rooms,2 bathroom,2.0,2026.0,1,Main Street,Developer,,Apartment For sale in Murooj Compound - Dar El Maghraby,https://aqarmap.com.eg/en/listing/6671452-for-sale-cairo-6th-of-october-compounds-murooj/,0,0
EG-6903778,Land,cairo 6th of october ltws t lshrqy,5500000.0,5314.0,1035.0,,,,,1,Main Street,Broker,,Land For sale in Eastern Expansions with size 1035 M² View Main Street,https://aqarmap.com.eg/en/listing/6903778-for-sale-cairo-6th-of-october-ltws-t-lshrqy/,0,0
EG-6897924,Chalet,north coast resorts solare resort misr italia,9974100.0,75561.0,132.0,2 rooms,2 bathroom,0.0,2029.0,1,Lake,Private Owner,"Security, Garden, Solar","Directly from the ownerA ground-floor chalet with two bedrooms and a garden (north-facing), fully finished, overlooking the lagoon directly.",https://aqarmap.com.eg/en/listing/6897924-for-sale-north-coast-resorts-solare-resort-misr-italia/,3,1
EG-6898957,Apartment,cairo new heliopolis lhy lthny,1600000.0,13333.0,120.0,2 rooms,3 bathroom,3.0,2025.0,1,Main Street,Developer,,"Apartments For sale with size 120 M² Semi Finished View Main Street, third floor, two rooms, three baths",https://aqarmap.com.eg/en/listing/6898957-for-sale-cairo-new-heliopolis-lhy-lthny/,0,1
EG-6859550,Land,cairo 6th of october green belt,160000000.0,4762.0,33600.0,,,,,1,Main Street,Broker,,Residential Land For sale in Wadi El Nile with size 33600 M² View Main Street,https://aqarmap.com.eg/en/listing/6859550-for-sale-cairo-6th-of-october-green-belt/,0,0
EG-6899863,Apartment,cairo nasr city abbas el akkad,6500000.0,32500.0,200.0,3 rooms,3 bathroom,11.0,1999.0,1,Main Street,Broker,"Elevator, Water Meter, Security, Balcony","Finish:Extra super lux 200 M² View Main Street, eleventh floor, three rooms, three baths in Abbas El Akkad St.",https://aqarmap.com.eg/en/listing/6899863-for-sale-cairo-nasr-city-abbas-el-akkad/,4,0
EG-6723602,Studio,cairo new cairo compounds sarai croons,3185000.0,46159.0,69.0,1 rooms,1 bathroom,2.0,2026.0,1,Main Street,Broker,,Studio for sale in Sarai Compound – Phase S1Immediate delivery,https://aqarmap.com.eg/en/listing/6723602-for-sale-cairo-new-cairo-compounds-sarai-croons/,0,0
EG-6816744,Chalet,north coast resorts virginia plaza resort solid,1578000.0,28691.0,55.0,2 rooms,1 bathroom,7.0,2028.0,1,Pool,Developer,,Chalet For sale in Virginia Plaza Resort - Solid,https://aqarmap.com.eg/en/listing/6816744-for-sale-north-coast-resorts-virginia-plaza-resort-solid/,0,1
EG-6547418,Apartment,cairo new cairo hy skn ljm lmryky,7350000.0,31013.0,237.0,4 rooms,3 bathroom,2.0,2025.0,1,Garden,Developer,Garden,Apartment For sale in American University Housing District,https://aqarmap.com.eg/en/listing/6547418-for-sale-cairo-new-cairo-hy-skn-ljm-lmryky/,1,0
